user_id,domain,signup
139,NORTHWESTERN.EDU,2016-07-05
140,U.NORTHWESTERN.EDU,2017-08-31
141,KELLOGG.NORTHWESTERN.EDU,2017-11-21
142,UCHICAGO.EDU,2017-04-24
143,U.NORTHWESTERN.EDU,2018-01-01
144,NORTHWESTERN.EDU,2016-12-01
145,NORTHWESTERN.EDU,2017-11-21
146,NORTHWESTERN.EDU,2016-09-08
147,GMAIL.COM,2018-01-01
148,NORTHWESTERN.EDU,2017-04-24
149,U.NORTHWESTERN.EDU,2017-10-21
150,NORTHWESTERN.EDU,2017-08-31
151,U.NORTHWESTERN.EDU,2016-07-14
152,NORTHWESTERN.EDU,2017-04-24
153,U.NORTHWESTERN.EDU,2017-10-21
154,U.NORTHWESTERN.EDU,2018-01-16
155,NORTHWESTERN.EDU,2017-10-26
156,U.NORTHWESTERN.EDU,2017-11-21
157,U.NORTHWESTERN.EDU,2018-01-16
158,NORTHWESTERN.EDU,2017-04-24
159,U.NORTHWESTERN.EDU,2017-08-31
160,GMAIL.COM,2017-11-21
161,GMAIL.COM,2017-04-24
162,NORTHWESTERN.EDU,2017-08-31
163,GMAIL.COM,2016-07-05
164,U.NORTHWESTERN.EDU,2017-06-10
165,GMAIL.COM,2017-08-31
166,NORTHWESTERN.EDU,2017-10-10
167,HOTMAIL.COM,2018-01-16
168,NORTHWESTERN.EDU,2017-10-17
169,GMAIL.COM,2017-11-21
170,GMAIL.COM,2017-11-21
171,NORTHWESTERN.EDU,2016-06-29
172,GMAIL.COM,2017-11-21
173,NORTHWESTERN.EDU,2017-11-21
174,NORTHWESTERN.EDU,2017-08-24
175,NORTHWESTERN.EDU,2017-04-24
176,NORTHWESTERN.EDU,2018-01-01
177,GMAIL.COM,2017-08-31
178,NORTHWESTERN.EDU,2017-08-31
179,U.NORTHWESTERN.EDU,2016-07-05
180,GMAIL.COM,2017-10-26
181,NORTHWESTERN.EDU,2016-11-29
182,GMAIL.COM,2016-06-29
183,NORTHWESTERN.EDU,2017-04-24
184,NORTHWESTERN.EDU,2016-06-29
185,U.NORTHWESTERN.EDU,2017-11-21
186,U.NORTHWESTERN.EDU,2018-01-01
187,U.NORTHWESTERN.EDU,2017-11-16
188,NORTHWESTERN.EDU,2017-10-21
189,U.NORTHWESTERN.EDU,2017-08-31
190,U.NORTHWESTERN.EDU,2016-07-01
191,NORTHWESTERN.EDU,2017-08-31
192,NORTHWESTERN.EDU,2017-04-24
193,HOTMAIL.COM,2018-01-01
194,GMAIL.COM,2017-10-10
195,NORTHWESTERN.EDU,2017-11-21
196,UCHICAGO.EDU,2017-10-10
197,GMAIL.COM,2017-11-21
198,NORTHWESTERN.EDU,2018-01-16
